timestamp,shift,ambient_temp_C,ambient_humidity_pct,khs_innofill_speed_bph,khs_innofill_product_temp_C,khs_innofill_co2_pressure_bar,khs_innofill_fill_level_deviation_mm,khs_innofill_status,krones_checkmat_throughput_bph,krones_checkmat_reject_rate_pct,krones_checkmat_camera_temp_C,krones_checkmat_status,sidel_sbo_blow_cycle_time_s,sidel_sbo_oven_temp_C,sidel_sbo_stretch_pressure_bar,sidel_sbo_output_rate_bph,sidel_sbo_status,tetrapak_past_inlet_temp_C,tetrapak_past_outlet_temp_C,tetrapak_past_hold_time_s,tetrapak_past_flow_rate_Lhr,tetrapak_past_status,krones_variopac_film_tension_N,krones_variopac_tunnel_temp_C,krones_variopac_speed_packs_min,krones_variopac_film_remaining_pct,krones_variopac_status,heuft_spectrum_belt_speed_ms,heuft_spectrum_motor_current_A,heuft_spectrum_vibration_mms,heuft_spectrum_jam_count,heuft_spectrum_status,overall_risk_level
1/3/2024 06:00,Morning,31.3,64.5,607,10.74,3.14,0.39,Running,597,0.67,36.4,Running,1.813,107.9,38.53,1986,Running,3.81,72.26,14.17,4775,Running,12.12,181.8,39.9,99.9,Running,1.131,12.36,2.19,0,Running,Low
1/3/2024 06:10,Morning,20.6,70,598,11.53,3.092,-0.28,Running,590,0.57,32.1,Running,1.869,106.4,36.73,1926,Running,4.22,70.87,14.25,5034,Running,12.06,184.2,42.7,99.9,Running,1.194,13.18,2.541,0,Running,Low
1/3/2024 06:20,Morning,26.6,54.6,610,8.88,3.006,-0.41,Running,603,0.41,32.7,Running,1.822,101.5,38.15,1976,Running,4.12,71.65,15.07,4973,Running,11.62,186.4,40.6,101.3,Running,1.209,11.59,2.76,0,Running,Low
1/3/2024 06:30,Morning,28.7,66,623,10.45,2.935,0,Running,606,0.67,37.3,Running,1.855,105.5,37.28,1941,Running,4.63,72.09,15.01,5097,Running,12.97,174.4,42.2,98.7,Running,1.202,12.12,2.799,0,Running,Low
1/3/2024 06:40,Morning,33.1,69.5,596,9.48,3.07,-0.09,Running,591,0.5,35.7,Running,1.823,107,35.33,1974,Running,4.39,73.36,14.64,4890,Running,11.76,186.8,41.2,99.9,Running,1.267,12.7,2.528,0,Running,Low
1/3/2024 06:50,Morning,24.6,58.6,596,9.61,3.039,-0.23,Running,583,0.47,36.1,Running,1.867,109.6,34.65,1928,Running,4.48,71.11,15.4,4938,Running,11.98,179.7,37.4,98.4,Running,1.193,10.85,2.298,0,Running,Low
1/3/2024 07:00,Morning,24.1,61.8,624,9.53,3.09,0.35,Running,618,0.47,33.1,Running,1.826,107.7,38.34,1971,Running,4.16,72.78,15.27,4849,Running,11.91,180.1,38.9,100.1,Running,1.105,13.6,2.583,0,Running,Low
1/3/2024 07:10,Morning,25.4,67.9,612,9.31,3.064,0.48,Running,608,0.34,33,Running,1.795,107.3,37.16,2005,Running,3.31,73.12,15.43,4900,Running,12.98,184.5,39.9,100.5,Running,1.377,12.94,2.67,0,Running,Low
1/3/2024 07:20,Morning,30.1,69.2,593,10.04,3.105,0.04,Running,589,0.49,37,Running,1.914,105.2,37.17,1881,Running,3.9,71.5,14.94,4882,Running,11.85,177.3,41.7,98.2,Running,1.165,10.63,2.579,0,Running,Low
1/3/2024 07:30,Morning,28.4,73,608,9.34,2.946,0.74,Running,600,0.55,37.1,Running,1.844,106.2,39.04,1952,Running,4.53,71.78,15.3,5100,Running,11.81,169.2,43.9,96.1,Running,1.248,12.3,2.87,0,Running,Low
1/3/2024 07:40,Morning,23.7,62.1,593,10.22,3.132,-0.57,Running,585,0.46,32.8,Running,1.829,108.7,39.76,1969,Running,3.97,71.17,14.78,4930,Running,12.06,183.5,39,97.4,Running,1.125,11.55,2.196,0,Running,Low
1/3/2024 07:50,Morning,28.3,60.9,593,9.96,3.02,-0.1,Running,578,0.54,32.4,Running,1.736,101,37.59,2074,Running,4.25,71.84,16.03,5012,Running,11.65,181.7,40.1,100.3,Running,1.212,11.68,2.291,0,Running,Low
1/3/2024 08:00,Morning,32.7,73.3,604,9.81,3.208,-0.36,Running,600,0.41,34.8,Running,1.736,104,37.49,2074,Running,3.84,71.97,14.59,4962,Running,12.06,178.2,41.6,97.1,Running,1.16,12.28,2.829,1,Running,Low
1/3/2024 08:10,Morning,28.8,61.2,571,9.27,2.931,-0.93,Running,559,0.49,33.4,Running,1.815,102.7,38.75,1984,Running,3.49,72.53,16.05,4873,Running,13.19,183.1,39.9,99.3,Running,1.059,12.84,2.058,0,Running,Low
1/3/2024 08:20,Morning,28.5,67.5,574,9.54,3.174,-0.04,Running,565,0.53,33.4,Running,1.807,106.1,35.96,1992,Running,3.94,72.87,15.02,4983,Running,12.15,184.1,43.3,96.7,Running,1.186,11.63,2.338,0,Running,Low
1/3/2024 08:30,Morning,28.7,75.9,592,10.6,3.02,-0.06,Running,579,0.52,32.5,Running,1.769,108.7,38.33,2035,Running,4.15,71.4,14.31,5060,Running,12.13,172.4,37.3,96.5,Running,1.197,11.64,2.281,0,Running,Low
1/3/2024 08:40,Morning,29.2,68.8,585,10.4,2.935,0.76,Running,570,0.34,34.1,Running,1.807,103.2,38.83,1992,Running,3.67,70.43,15.68,4879,Running,11.64,180.1,41.4,97.7,Running,1.189,12.3,2.031,0,Running,Low
1/3/2024 08:50,Morning,24.2,68.9,605,9.22,2.952,0.32,Running,598,0.46,32.7,Running,1.879,97.8,39.02,1915,Running,3.88,71.98,15.06,5081,Running,12.85,168.6,41.3,97.4,Running,1.212,12.46,2.444,0,Running,Low
1/3/2024 09:00,Morning,27.3,71.4,586,10.08,2.968,-0.51,Running,570,0.67,32.8,Running,1.835,103.8,35.09,1962,Running,3.53,72.23,15.43,4915,Running,12.97,179.4,42.3,97.4,Running,1.187,11.19,2.724,0,Running,Low
1/3/2024 09:10,Morning,27.5,67.6,579,10.6,3.042,0.93,Running,574,0.45,35.6,Running,1.743,107.7,36.86,2065,Running,4.56,72.2,15.61,4952,Running,12.43,178.1,40.1,96.4,Running,1.203,13.38,2.547,0,Running,Low
1/3/2024 09:20,Morning,26.5,68.9,622,8.66,3.052,0.61,Running,609,0.5,34.9,Running,1.794,106.6,36.68,2006,Running,3.85,71.74,15.17,5053,Running,12.33,182.5,41.8,97.2,Running,1.209,11.49,2.74,0,Running,Low
1/3/2024 09:30,Morning,30.1,63.3,597,10.43,2.943,0.29,Running,579,0.49,36,Running,1.76,106.3,38.15,2046,Running,4.73,72.1,14.7,4934,Running,11.88,174.6,39.5,97,Running,1.198,12.77,2.858,0,Running,Low
1/3/2024 09:40,Morning,26.1,70.8,601,9.47,2.998,-0.11,Running,592,0.66,31.7,Running,1.781,104.2,38.72,2022,Running,4.76,73.21,15.49,5004,Running,12.2,177.9,38.4,97,Running,1.191,12.36,2.384,0,Running,Low
1/3/2024 09:50,Morning,26.9,67.1,579,10.46,3.214,-0.48,Running,562,0.63,35,Running,1.779,101.2,40.25,2023,Running,3.96,72.31,15,4969,Running,11.58,163.9,38.1,95,Running,1.155,12.49,3.294,0,Running,Low
1/3/2024 10:00,Morning,24.2,57.6,592,9.39,3.173,-0.19,Running,579,0.58,39.2,Running,1.776,106.5,37.26,2027,Running,3.5,71.7,15.34,5013,Running,11.44,182.8,37.1,96.5,Running,1.23,11.5,2.396,0,Running,Low
1/3/2024 10:10,Morning,29.1,66.2,602,8.56,3.044,0.54,Running,596,0.4,34.3,Running,1.737,102.5,37.25,2072,Running,2.96,71.6,13.92,4762,Running,11.26,179.6,39.1,94.7,Running,1.186,10.62,2.436,0,Running,Low
1/3/2024 10:20,Morning,30.8,54.2,583,8.7,3.004,0.94,Running,566,0.54,36.6,Running,1.794,111.6,39.72,2007,Running,3.26,71.86,15.22,4817,Running,12.21,180.4,40.6,94.9,Running,1.182,11.98,2.288,0,Running,Low
1/3/2024 10:30,Morning,26.9,68.6,606,10.04,3.012,0.77,Running,603,0.56,36.6,Running,1.772,106.7,38.44,2032,Running,3.31,73.31,14.68,5062,Running,11.31,172.5,39.6,94.7,Running,1.226,11.99,2.664,0,Running,Low
1/3/2024 10:40,Morning,30.4,63.8,591,10.21,3.061,-0.24,Running,573,0.43,36.7,Running,1.654,103.3,39.9,2177,Running,4.69,71.85,15.83,5104,Running,11.75,182,40.4,93.7,Running,1.211,11.23,2.413,0,Running,Low
1/3/2024 10:50,Morning,27.6,74.5,596,9.28,2.898,-0.56,Running,582,0.41,35.3,Running,1.903,103.2,38.43,1892,Running,4.06,71.98,15.31,4909,Running,11.97,188.3,42.5,92.7,Running,1.165,12.73,2.476,0,Running,Low
1/3/2024 11:00,Morning,20.4,67.4,591,10.51,2.974,0.07,Running,586,0.67,36.1,Running,1.854,104.7,36.26,1941,Running,4.19,71.61,15.12,4976,Running,12.5,179.1,39,95.5,Running,1.263,11.96,2.438,0,Running,Low
1/3/2024 11:10,Morning,27.8,69.6,628,8.67,2.833,-0.88,Running,615,0.47,36.4,Running,1.781,104.3,36,2021,Running,2.89,72.88,15.24,5029,Running,11.71,183.3,44.7,93.4,Running,1.141,11.35,2.432,0,Running,Low
1/3/2024 11:20,Morning,27.5,59.8,600,9.95,3.04,0.16,Running,584,0.66,36.3,Running,1.801,108.4,35.67,1999,Running,3.4,73.57,14.5,5069,Running,12.56,175.6,41.5,93.6,Running,1.148,12.47,2.547,0,Running,Low
1/3/2024 11:30,Morning,28.3,68.4,584,9.03,3.065,-0.07,Running,573,0.6,32.8,Running,1.741,105.6,38.99,2067,Running,4.44,72.36,15.81,4797,Running,12.47,179.6,39.6,93,Running,1.233,12.49,2.365,0,Running,Low
1/3/2024 11:40,Morning,28.8,61.8,612,9.48,2.952,-0.23,Running,599,0.54,31.6,Running,1.885,102.8,39.78,1910,Running,4.14,72.07,16,4911,Running,11.46,172.3,39.6,93.3,Running,1.288,11.43,2.379,1,Running,Low
1/3/2024 11:50,Morning,25.9,70.5,582,10.04,3.157,-0.8,Running,579,0.55,31.9,Running,1.895,110.7,40.77,1900,Running,3.93,72.03,15.2,4967,Running,12.56,183.9,38,92.8,Running,1.171,12.99,2.822,0,Running,Low
1/3/2024 12:00,Morning,32.4,59.4,603,9.31,2.877,0.26,Running,591,0.36,34.5,Running,1.808,105.1,39.26,1991,Running,4.28,70.09,15.8,5070,Running,11.86,180.8,39.9,94.4,Running,1.221,13.79,2.412,0,Running,Low
1/3/2024 12:10,Morning,27.8,65.5,571,9.69,2.854,-0.27,Running,567,0.52,36.2,Running,1.851,107.3,39.74,1945,Running,4.82,72.6,14.72,5250,Running,11.75,173.9,35.7,92.4,Running,1.14,11.13,2.615,0,Running,Low
1/3/2024 12:20,Morning,27.4,59.2,580,10.81,3.022,-0.58,Running,578,0.64,32.8,Running,1.809,103.2,37.13,1990,Running,3.89,72.11,14.6,4977,Running,11.86,176,42.5,94.5,Running,1.154,11.85,2.233,0,Running,Low
